age_group,ai_use
25-34,Yes
45+,"Not yet, but plan to"
35-44,No
18-24,"Not yet, but plan to"
25-34,Yes
35-44,"Not yet, but plan to"
45+,Yes
45+,No
35-44,Yes
18-24,No
18-24,Yes
18-24,Yes
35-44,No
18-24,No
18-24,Yes
45+,"Not yet, but plan to"
35-44,No
45+,No
35-44,No
18-24,Yes
18-24,Yes
45+,Yes
35-44,Yes
45+,Yes
45+,Yes
35-44,No
45+,Yes
25-34,No
35-44,Yes
35-44,Yes
35-44,Yes
35-44,"Not yet, but plan to"
18-24,Yes
45+,Yes
35-44,Yes
35-44,Yes
18-24,"Not yet, but plan to"
25-34,Yes
45+,Yes
45+,Yes
25-34,Yes
45+,"Not yet, but plan to"
25-34,Yes
35-44,No
35-44,Yes
35-44,Yes
25-34,Yes
25-34,Yes
18-24,Yes
25-34,"Not yet, but plan to"
45+,No
35-44,Yes
35-44,No
25-34,No
18-24,Yes
35-44,Yes
45+,Yes
18-24,Yes
18-24,Yes
25-34,Yes
35-44,Yes
35-44,No
45+,"Not yet, but plan to"
25-34,Yes
35-44,Yes
25-34,Yes
45+,No
35-44,Yes
35-44,No
25-34,Yes
25-34,No
25-34,No
18-24,Yes
18-24,Yes
25-34,Yes
35-44,Yes
18-24,Yes
45+,No
25-34,Yes
35-44,No
35-44,Yes
25-34,Yes
45+,Yes
25-34,No
45+,"Not yet, but plan to"
25-34,"Not yet, but plan to"
18-24,Yes
18-24,No
35-44,No
45+,No
25-34,"Not yet, but plan to"
25-34,No
35-44,No
45+,Yes
18-24,Yes
35-44,Yes
45+,No
25-34,No
25-34,Yes
18-24,"Not yet, but plan to"
18-24,"Not yet, but plan to"
18-24,Yes
25-34,Yes
45+,Yes
25-34,No
18-24,"Not yet, but plan to"
35-44,No
18-24,Yes
45+,No
18-24,Yes
18-24,Yes
45+,No
45+,Yes
45+,"Not yet, but plan to"
18-24,Yes
35-44,No
35-44,No
45+,No
45+,"Not yet, but plan to"
35-44,"Not yet, but plan to"
25-34,Yes
18-24,Yes
45+,"Not yet, but plan to"
18-24,Yes
25-34,Yes
25-34,Yes
25-34,No
18-24,Yes
18-24,Yes
18-24,Yes
35-44,Yes
25-34,Yes
25-34,"Not yet, but plan to"
45+,"Not yet, but plan to"
35-44,No
35-44,Yes
18-24,"Not yet, but plan to"
18-24,Yes
25-34,Yes
35-44,Yes
35-44,"Not yet, but plan to"
35-44,Yes
25-34,Yes
18-24,Yes
25-34,Yes
35-44,Yes
18-24,Yes
25-34,Yes
25-34,Yes
18-24,No
25-34,No
35-44,Yes
45+,Yes
25-34,"Not yet, but plan to"
35-44,No
35-44,No
18-24,No
25-34,Yes
35-44,"Not yet, but plan to"
25-34,Yes
25-34,Yes
18-24,Yes
45+,No
35-44,"Not yet, but plan to"
45+,"Not yet, but plan to"
45+,No
35-44,Yes
35-44,"Not yet, but plan to"
35-44,Yes
25-34,Yes
18-24,Yes
18-24,Yes
25-34,Yes
35-44,No
25-34,No
25-34,"Not yet, but plan to"
35-44,Yes
35-44,Yes
45+,Yes
35-44,Yes
25-34,Yes
25-34,Yes
25-34,No
25-34,Yes
35-44,"Not yet, but plan to"
25-34,Yes
18-24,Yes
35-44,No
45+,"Not yet, but plan to"
25-34,Yes
25-34,Yes
18-24,No
25-34,Yes
35-44,"Not yet, but plan to"
45+,No
